"spp","state","month","day","year","source","odate"
"vira","ontario",9,10,"2008","birdstrikes",253
"vira","ontario",9,30,"2008","birdstrikes",273
"sora","illinois",9,5,"2009","birdstrikes",248
"sora","illinois",9,14,"2009","birdstrikes",257
"sora","illinois",9,14,"2009","birdstrikes",257
"sora","illinois",9,21,"2009","birdstrikes",264
"sora","illinois",9,25,"2009","birdstrikes",268
"sora","illinois",9,29,"2009","birdstrikes",272
"sora","illinois",9,29,"2009","birdstrikes",272
"sora","illinois",9,29,"2009","birdstrikes",272
"vira","illinois",9,29,"2009","birdstrikes",272
"vira","ontario",9,25,"2009","birdstrikes",268
"sora","maryland",9,17,"2010","birdstrikes",260
"sora","illinois",9,3,"2010","birdstrikes",246
"sora","illinois",9,5,"2010","birdstrikes",248
"sora","illinois",9,5,"2010","birdstrikes",248
"sora","illinois",9,5,"2010","birdstrikes",248
"sora","illinois",9,6,"2010","birdstrikes",249
"sora","illinois",9,6,"2010","birdstrikes",249
"sora","illinois",9,8,"2010","birdstrikes",251
"sora","illinois",9,13,"2010","birdstrikes",256
"sora","illinois",9,14,"2010","birdstrikes",257
"vira","illinois",9,8,"2010","birdstrikes",251
"vira","illinois",9,8,"2010","birdstrikes",251
"vira","illinois",9,20,"2010","birdstrikes",263
"vira","illinois",9,26,"2010","birdstrikes",269
"sora","illinois",9,6,"2010","birdstrikes",249
"sora","illinois",9,6,"2010","birdstrikes",249
"sora","illinois",9,14,"2010","birdstrikes",257
"sora","minnesota",9,5,"2010","birdstrikes",248
"vira","ontario",9,9,"2010","birdstrikes",252
"vira","ontario",9,6,"2010","birdstrikes",249
"vira","ontario",9,10,"2010","birdstrikes",253
"sora","illinois",9,2,"2011","birdstrikes",245
"sora","illinois",9,5,"2011","birdstrikes",248
"sora","illinois",9,5,"2011","birdstrikes",248
"sora","illinois",9,7,"2011","birdstrikes",250
"sora","illinois",9,7,"2011","birdstrikes",250
"sora","illinois",9,13,"2011","birdstrikes",256
"sora","illinois",9,14,"2011","birdstrikes",257
"sora","illinois",9,15,"2011","birdstrikes",258
"sora","illinois",9,15,"2011","birdstrikes",258
"sora","illinois",9,16,"2011","birdstrikes",259
"sora","illinois",9,16,"2011","birdstrikes",259
"sora","illinois",9,16,"2011","birdstrikes",259
"sora","illinois",9,18,"2011","birdstrikes",261
"sora","illinois",9,18,"2011","birdstrikes",261
"sora","illinois",9,21,"2011","birdstrikes",264
"sora","illinois",9,21,"2011","birdstrikes",264
"sora","illinois",9,22,"2011","birdstrikes",265
"sora","illinois",9,22,"2011","birdstrikes",265
